"ref","area","ATM banking (%)","Branch banking (%)","Online banking (%)","Telephone banking (%)","Mobile banking (%)","Post banking (%)","No current account (%)"
"20718","Almond",0.777625369,0.715090304,0.765821926,0.356622197,0.090332153,0.12301862,0.039465513
"20719","Pentland Hills",0.774550408,0.710523464,0.749513006,0.347683704,0.085784805,0.112341769,0.048112998
"20720","Drum Brae Gyle",0.785854301,0.717227697,0.753343759,0.359621953,0.102948727,0.115478468,0.043778132
"20721","Forth",0.806282325,0.714726332,0.725956441,0.361153295,0.117215915,0.105214787,0.070024161
"20722","Inverleith",0.794816586,0.725046599,0.768146655,0.404964405,0.118839564,0.134551405,0.040363432
"20723","Corstorphine Murrayfield",0.784483429,0.727871614,0.766580977,0.379253922,0.108543001,0.129714623,0.036721012
"20724","Sighthill Gorgie",0.825357814,0.721611423,0.743571392,0.348951983,0.11099096,0.10812954,0.071452166
"20725","Colinton Fairmilehead",0.781549185,0.717585582,0.765711749,0.366213328,0.095283565,0.129443963,0.042298834
"20726","Fountainbridge Craiglockhart",0.824929944,0.745308479,0.79696186,0.377859584,0.122421885,0.134101383,0.042364911
"20727","Meadows Morningside",0.820043855,0.739266569,0.794362159,0.394583564,0.126402752,0.146759678,0.039529148
"20728","City Centre",0.834157271,0.738009136,0.807698559,0.404802833,0.132792465,0.143728641,0.042643408
"20729","Leith Walk",0.837837042,0.754214989,0.80489124,0.384580361,0.126895029,0.130433769,0.045852012
"20730","Leith",0.826718523,0.745244042,0.781096158,0.386314015,0.132725353,0.122963462,0.050233545
"20731","Craigentinny Duddingston",0.792971781,0.724855384,0.737856465,0.355941866,0.096319792,0.113375997,0.057287492
"20732","Southside Newington",0.820111558,0.737586931,0.786713067,0.376898183,0.119247391,0.143797944,0.044887962
"20733","Liberton Gilmerton",0.791575733,0.704612808,0.720303882,0.339353632,0.1001205,0.102719793,0.065832057
"20734","Portobello Craigmillar",0.795201123,0.711015466,0.723155285,0.349127446,0.100112694,0.106192262,0.067979451