"ref","area","Total DLA claimants","Sum of age - under 16","Sum of age - 16 to 24","Sum of age - 25 to 49","Sum of age - 50 to 59","Sum of age - 60 to 69","Sum of age - 70 and over","Sum of gender - male","Sum of gender - female","Sum of duration - less than 12 months","Sum of duration - 1 year and up to 2 years","Sum of duration - 2 years and up to 5 years","Sum of duration - 5 years and over","Sum of mobility award - higher rate","Sum of mobility award - lower rate","Sum of mobility award - nil rate","Sum of care award - lower rate","Sum of care award - middle rate","Sum of care award - higher rate","Sum of care award - nil rate"
"20718","Almond",810,125,80,175,160,165,105,425,385,30,55,105,620,415,290,105,225,285,235,65
"20719","Pentland Hills",875,140,95,215,165,155,105,450,425,35,30,145,665,405,355,115,245,360,195,75
"20720","Drum Brae Gyle",1075,115,80,320,205,215,140,500,575,20,60,155,840,550,415,110,290,370,295,120
"20721","Forth",2115,220,160,585,460,385,305,1050,1065,80,130,315,1590,1080,805,230,580,750,535,250
"20722","Inverleith",895,85,15,225,185,200,185,400,495,40,45,115,695,470,310,115,250,310,215,120
"20723","Corstorphine Murrayfield",635,100,45,140,125,100,125,300,335,15,10,90,520,335,230,70,160,240,150,85
"20724","Sighthill Gorgie",2700,235,190,890,555,525,305,1445,1255,30,185,405,2080,1195,1170,335,810,1010,630,250
"20725","Colinton Fairmilehead",840,130,65,235,135,150,125,395,445,20,40,135,645,395,340,105,195,335,215,95
"20726","Fountainbridge Craiglockhart",915,75,40,295,185,195,125,460,455,20,40,130,725,415,380,120,220,395,230,70
"20727","Meadows Morningside",865,130,50,245,165,150,125,505,360,10,65,120,670,365,420,80,220,345,250,50
"20728","City Centre",810,40,15,325,170,170,90,500,310,5,45,125,635,295,435,80,260,315,185,50
"20729","Leith Walk",1330,95,40,470,280,250,195,740,590,25,100,200,1005,605,605,120,360,530,310,130
"20730","Leith",1565,110,115,560,305,315,160,840,725,55,115,220,1175,710,690,165,500,555,380,130
"20731","Craigentinny Duddingston",1540,110,95,390,330,315,300,770,770,35,70,230,1205,795,585,160,420,530,405,185
"20732","Southside Newington",1195,85,50,390,215,290,165,655,540,10,70,155,960,560,525,110,285,480,285,145
"20733","Liberton Gilmerton",2390,220,170,590,470,550,390,1175,1215,45,110,390,1845,1320,810,260,685,825,625,255
"20734","Portobello Craigmillar",2090,170,130,530,455,480,325,1035,1055,40,115,330,1605,1145,750,195,595,725,555,215