"ref","area","Contact them: Mobile (%)","Contact them: SMS (%)","Contact them: Email (%)","Contact them: Post (%)","Contact them: Landline (%)","Do not contact them (%)"
"20718","Almond",0.007786179,0.01382601,0.676738767,0.143093666,0.015931254,0.142000512
"20719","Pentland Hills",0.006953599,0.012480448,0.675200857,0.14348483,0.020030269,0.14169383
"20720","Drum Brae Gyle",0.009289173,0.015953596,0.677816305,0.137630889,0.015127545,0.14357759
"20721","Forth",0.009654621,0.019810813,0.679171101,0.131262173,0.019143602,0.140414287
"20722","Inverleith",0.009448705,0.019050026,0.688772293,0.128230447,0.013248363,0.141152305
"20723","Corstorphine Murrayfield",0.009764028,0.017107056,0.683270463,0.135498169,0.014282171,0.139990664
"20724","Sighthill Gorgie",0.007899284,0.021074444,0.687180382,0.124060178,0.014228207,0.145177759
"20725","Colinton Fairmilehead",0.008146216,0.015322317,0.679974163,0.142679152,0.014243062,0.139546732
"20726","Fountainbridge Craiglockhart",0.008503444,0.024739947,0.701528305,0.115976389,0.007992313,0.141083791
"20727","Meadows Morningside",0.0091634,0.025277272,0.703102609,0.116898127,0.009235271,0.136303717
"20728","City Centre",0.008242268,0.026359888,0.710740438,0.104142745,0.007655673,0.14229537
"20729","Leith Walk",0.00773326,0.024296067,0.702778079,0.110964571,0.005687827,0.148525958
"20730","Leith",0.00839507,0.023741412,0.699803808,0.114100181,0.008382965,0.145364355
"20731","Craigentinny Duddingston",0.009191666,0.017191358,0.672020601,0.13959307,0.014258503,0.147450989
"20732","Southside Newington",0.009465256,0.025826589,0.701375444,0.117368154,0.010153126,0.135789426
"20733","Liberton Gilmerton",0.009842466,0.016720915,0.667304388,0.143058001,0.018136109,0.144286247
"20734","Portobello Craigmillar",0.01008351,0.017618603,0.668540314,0.141545053,0.017159287,0.144688283