"ref","area","Want to contact by: Telephone (%)","Want to contact by: Email (%)","Want to contact by: Online (%)","Want to contact by: Post (%)","Want to contact by: Branch (%)","Want to contact by: Other (%)"
"20718","Almond",0.217797397,0.307846146,0.226269544,0.148699237,0.085611464,0.013776212
"20719","Pentland Hills",0.221052606,0.30636077,0.220516668,0.145526822,0.09061246,0.015930674
"20720","Drum Brae Gyle",0.21969048,0.308092972,0.224139052,0.145681839,0.086765715,0.015629942
"20721","Forth",0.226990132,0.314598832,0.207135743,0.140666527,0.091249736,0.01935903
"20722","Inverleith",0.222255588,0.311895168,0.225840418,0.14144321,0.08504323,0.013522386
"20723","Corstorphine Murrayfield",0.219047616,0.311900708,0.222645356,0.146855108,0.085420202,0.014131011
"20724","Sighthill Gorgie",0.208414057,0.314121555,0.241231095,0.126529999,0.092545451,0.017157842
"20725","Colinton Fairmilehead",0.219380875,0.309503739,0.218066585,0.153625434,0.084011551,0.015411816
"20726","Fountainbridge Craiglockhart",0.192945018,0.317402764,0.269048959,0.122917647,0.087899891,0.009785721
"20727","Meadows Morningside",0.200665452,0.31703018,0.256571191,0.128990831,0.087777355,0.008964991
"20728","City Centre",0.194253968,0.320258963,0.276841315,0.113622444,0.08648513,0.00853818
"20729","Leith Walk",0.1869938,0.315117126,0.28377499,0.11618566,0.088642935,0.009285489
"20730","Leith",0.199577607,0.32078063,0.255407812,0.124560061,0.086724887,0.012949002
"20731","Craigentinny Duddingston",0.219990628,0.306724761,0.218111111,0.14567676,0.09071782,0.018778919
"20732","Southside Newington",0.198287014,0.317652219,0.257835342,0.126678053,0.089604404,0.009942969
"20733","Liberton Gilmerton",0.226491574,0.305322875,0.214085786,0.14496571,0.090645099,0.018488956
"20734","Portobello Craigmillar",0.227815322,0.305573408,0.208809652,0.146937372,0.090886868,0.019977378