"ref","area","Limited a lot","Limited a little","Daily activities not limited","Health is good or very good"
"20718","Almond",1510,2283,21223,21994
"20719","Pentland Hills",1409,2148,20158,20861
"20720","Drum Brae Gyle",1678,2198,18345,19113
"20721","Forth",2843,3242,27126,27616
"20722","Inverleith",1955,2698,26459,27382
"20723","Corstorphine Murrayfield",1543,2128,19296,20136
"20724","Sighthill Gorgie",3381,3731,30186,30484
"20725","Colinton Fairmilehead",1386,2188,20664,21440
"20726","Fountainbridge Craiglockhart",1301,1857,20836,21213
"20727","Meadows Morningside",1670,2352,30143,31081
"20728","City Centre",1132,1584,21434,21721
"20729","Leith Walk",1922,2436,27509,27801
"20730","Leith",2018,2244,20669,21011
"20731","Craigentinny Duddingston",2322,2749,20675,21419
"20732","Southside Newington",1991,2689,28543,29284
"20733","Liberton Gilmerton",3524,3370,26498,27253
"20734","Portobello Craigmillar",2657,2688,20035,20648