"ref","area","Total dwellings","Vacant dwellings","2nd residence","Detached","Semi-detached","Terraced","Flat / tenement","Caravan / temporary"
"20718","Almond",10845,274,67,3216,2707,2408,2512,2
"20719","Pentland Hills",9477,111,20,2890,2955,1223,2405,6
"20720","Drum Brae Gyle",10176,160,30,1809,2754,2394,3217,2
"20721","Forth",15674,295,96,489,1891,2043,11280,1
"20722","Inverleith",16052,490,231,1749,1814,1887,10607,0
"20723","Corstorphine Murrayfield",10784,237,67,1599,1965,1783,5437,0
"20724","Sighthill Gorgie",19468,383,58,302,1433,1622,16117,3
"20725","Colinton Fairmilehead",10393,202,29,3522,2329,1220,3323,0
"20726","Fountainbridge Craiglockhart",12451,307,53,998,578,1231,9644,2
"20727","Meadows Morningside",15186,345,138,1008,776,1251,12171,1
"20728","City Centre",12975,481,670,109,146,693,12035,1
"20729","Leith Walk",18241,457,132,126,288,1214,16619,3
"20730","Leith",13907,363,320,153,561,1336,11874,8
"20731","Craigentinny Duddingston",13266,241,35,1484,1776,1624,8383,0
"20732","Southside Newington",14418,253,94,792,1246,1170,11223,3
"20733","Liberton Gilmerton",14984,201,24,2226,4153,3781,4828,4
"20734","Portobello Craigmillar",11761,265,19,1423,2023,2466,5811,41