"ref","area","Self diagnosed: asthma (%)","Self diagnosed: arthritis (%)","Self diagnosed: rheumatism (%)","Self diagnosed: high blood pressure (%)","Self diagnosed: poor blood circulation (%)","Self diagnosed: hearing problems (%)","Self diagnosed: high cholesterol (%)","Self diagnosed: heart problems (%)","Self diagnosed: diabetes (%)","Self diagnosed: depression (%)","Takeaway once a week or more (%)","Heavy smokers (%)","Alcohol once a day (%)","Alcohol two to three times a week (%)","Alcohol once a week  (%)","No participation in sport (%)","Less than 1 hour of sport per week (%)","1 to 2 hours of sport per week (%)","2 to 4 hours of sport per week (%)","4 or more hours of sport per week (%)","No exercise taken (%)","Less than 1 hour of exercise per week (%)","1 to 2 hours of exercise per week (%)","2 to 4 hours of exercise per week (%)","4 or more hours of exercise per week (%)"
"20718","Almond",0.105361141,0.17982934,0.033643802,0.222996473,0.051996467,0.09575006,0.141657373,0.063407064,0.077044938,0.096127697,0.083775575,0.014113782,0.114887844,0.305355184,0.133406413,0.716216543,0.069398131,0.061971195,0.064395229,0.088081474,0.411985626,0.090461247,0.158023105,0.143161233,0.196718881
"20719","Pentland Hills",0.114609468,0.186552541,0.035589759,0.224349848,0.05439453,0.097844086,0.143836266,0.066242509,0.080390253,0.114348317,0.088231696,0.022292476,0.111899364,0.291153002,0.135401602,0.718710738,0.072088036,0.061825566,0.064020663,0.083354997,0.409333152,0.092040642,0.161602093,0.140223452,0.196800662
"20720","Drum Brae Gyle",0.10935727,0.179686119,0.034440558,0.215432547,0.055726273,0.09202446,0.135870453,0.06574991,0.077907113,0.107399208,0.089395333,0.018176296,0.097986171,0.279491208,0.138116807,0.729219534,0.066342307,0.063617196,0.062575549,0.078293837,0.429009838,0.087120871,0.154552328,0.137076011,0.192511885
"20721","Forth",0.132934138,0.167858457,0.035285067,0.185600358,0.065481248,0.076427066,0.125572121,0.064336572,0.075481926,0.169206986,0.113051081,0.038446861,0.076248509,0.23714769,0.140117033,0.724135933,0.076225381,0.067164049,0.062591654,0.069949839,0.430874417,0.090900565,0.160255241,0.126483254,0.191860585
"20722","Inverleith",0.099908032,0.154941711,0.031037529,0.202763891,0.059679686,0.077029255,0.151663915,0.067444148,0.074493205,0.100272385,0.084221426,0.020291768,0.10937868,0.310824531,0.138993902,0.708438699,0.066456821,0.06543156,0.069900391,0.089780089,0.386225872,0.084368355,0.170859119,0.15152505,0.2070639
"20723","Corstorphine Murrayfield",0.101907265,0.173058177,0.034687377,0.217426137,0.057665101,0.090471316,0.142906108,0.066603808,0.077744976,0.100380756,0.078230623,0.016679552,0.115357283,0.302815147,0.133096411,0.720931117,0.064837217,0.062629633,0.064971099,0.086630934,0.408610269,0.083795581,0.161138191,0.144965368,0.201490592
"20724","Sighthill Gorgie",0.138439703,0.144355022,0.030392525,0.144188736,0.055021091,0.063611645,0.102729083,0.050767915,0.077045781,0.178802591,0.11407544,0.041048502,0.057994028,0.216279214,0.156481162,0.702478765,0.084116956,0.076173179,0.064835461,0.072434957,0.433264971,0.083775339,0.147475693,0.122810622,0.212893364
"20725","Colinton Fairmilehead",0.109693117,0.1722527,0.033941644,0.217019039,0.053805654,0.09274627,0.137338526,0.060805896,0.074527674,0.107934643,0.087649342,0.016182146,0.119364568,0.305998705,0.132046913,0.700638951,0.073729774,0.064803024,0.067863746,0.092964506,0.394921465,0.091724074,0.167368628,0.143541359,0.202444474
"20726","Fountainbridge Craiglockhart",0.111330969,0.118714411,0.024417215,0.13813539,0.044013608,0.058443238,0.096729581,0.043341021,0.070809516,0.118034503,0.086379771,0.02359695,0.076856121,0.287115078,0.156076423,0.680951182,0.079262728,0.078729211,0.072466482,0.088612303,0.40093268,0.081220381,0.144411221,0.14466629,0.228891995
"20727","Meadows Morningside",0.104029202,0.11555584,0.022745707,0.151204602,0.048993896,0.058033939,0.11462828,0.04741791,0.065792246,0.101192928,0.082777785,0.019097333,0.092186647,0.322407155,0.151809112,0.668279545,0.078168723,0.074715866,0.07759145,0.101246862,0.37559276,0.088925567,0.15711223,0.155568322,0.222814801
"20728","City Centre",0.109132315,0.094751345,0.019914436,0.118317701,0.044489135,0.042684209,0.103396899,0.04120429,0.065791491,0.113130267,0.089830651,0.022731135,0.07264168,0.293931058,0.167513568,0.66284702,0.081712181,0.080591228,0.07869123,0.096240332,0.375076128,0.081766278,0.154678582,0.15496015,0.233977606
"20729","Leith Walk",0.113451298,0.110045107,0.024715273,0.116637497,0.041531243,0.047270265,0.090280589,0.04088168,0.077388172,0.128389499,0.089593929,0.030609433,0.064842755,0.268019166,0.165367021,0.679124018,0.080845085,0.084332713,0.07212038,0.083579271,0.402022282,0.072499469,0.142349806,0.141026449,0.242110201
"20730","Leith",0.117256949,0.128516686,0.028360508,0.140537888,0.049546823,0.052562725,0.101766665,0.048935632,0.074629549,0.136634638,0.098206938,0.031100795,0.066126215,0.264327252,0.1540255,0.701038079,0.075172778,0.079814734,0.067949457,0.07605283,0.411871069,0.077495236,0.149132339,0.138796093,0.222861245
"20731","Craigentinny Duddingston",0.122390301,0.177199145,0.035886956,0.202440544,0.060770368,0.087488419,0.130971832,0.066709648,0.082369436,0.140660167,0.097085937,0.030648347,0.088995662,0.250689591,0.139067037,0.723042671,0.070811923,0.068955277,0.063260846,0.073963395,0.432218079,0.08388801,0.153987101,0.129775005,0.200322661
"20732","Southside Newington",0.111265515,0.119599764,0.023251294,0.146814688,0.049121046,0.061082961,0.106867283,0.045853693,0.066429024,0.115530742,0.084777316,0.020938206,0.08468893,0.29829469,0.1536843,0.673754793,0.079172254,0.074527291,0.075266904,0.097280415,0.395904704,0.087504622,0.147879835,0.148510337,0.220209777
"20733","Liberton Gilmerton",0.123303448,0.194142209,0.037548144,0.215530121,0.063444868,0.091635006,0.145383932,0.071872897,0.083567861,0.143489657,0.102200041,0.030872932,0.081351171,0.23894846,0.135600721,0.747558924,0.067598621,0.060246123,0.05667481,0.067986961,0.460366345,0.088651529,0.148011063,0.122327356,0.181009841
"20734","Portobello Craigmillar",0.128731491,0.179115173,0.035866833,0.199141746,0.063116498,0.085863324,0.132709391,0.066399868,0.077806348,0.156939425,0.108227258,0.035313082,0.081777701,0.235774686,0.136919257,0.728071941,0.07403486,0.065614148,0.061708556,0.070606477,0.440528203,0.089161742,0.155767295,0.12462283,0.190121247