"ref","area","Average annual household income","Households income 'less than £15k'","Households income '£15k to £19k'","Households income '£20k to £29k'","Households income '£30k to £39k'","Households income '£40k to £49k'","Households income '£50k to £59k'","Households income '£60k to £69k'","Households income '£70k to £99k'","Households income '£100k to £149k'","Households income '£150k+'","Average property value","Ratio: property value / hh income"
"20718","Almond",47899.41517,1458.411964,576.291314,1851.280517,1647.483157,1695.301593,1238.926147,847.612576,1413.142764,573.167604,223.384203,214211.959,4.472120551
"20719","Pentland Hills",42861.32498,1667.162517,576.118964,1623.90138,1230.526758,1326.34697,948.945742,652.318015,1054.860202,351.574478,103.24597,187172.6184,4.366934958
"20720","Drum Brae Gyle",41101.82812,1577.397302,651.797312,2188.918759,1822.60439,1626.315444,1109.702625,665.764267,958.62817,304.496827,84.375784,169228.3742,4.117295555
"20721","Forth",32491.50014,4422.910171,1294.820352,3927.558653,2131.111104,1611.658012,1089.290172,584.79813,773.62833,339.638814,148.584369,135941.393,4.183906328
"20722","Inverleith",49797.2431,2106.667402,835.873788,2734.62655,2615.676961,2015.211155,1714.601831,1239.903883,2044.481959,1043.037483,483.922279,242755.1685,4.874871646
"20723","Corstorphine Murrayfield",47241.89826,1421.898908,591.980219,1894.021746,1561.261421,1383.20548,1061.794071,688.98062,1144.788544,555.791879,260.278632,221892.8735,4.696950835
"20724","Sighthill Gorgie",26389.3834,5513.718869,1598.323408,5971.073244,2728.292642,1935.693753,1094.266057,429.510716,296.876162,42.891185,5.346655,104155.9866,3.94688974
"20725","Colinton Fairmilehead",49794.57225,1538.987312,573.337975,1792.194913,1363.919838,1438.849091,1159.585168,805.084371,1459.456264,681.027875,306.558478,235898.3505,4.737431005
"20726","Fountainbridge Craiglockhart",37940.47162,2075.836273,868.959581,3618.776852,2142.356932,1562.015878,1120.689899,646.605935,839.796905,353.413716,150.54586,176928.8581,4.663327855
"20727","Meadows Morningside",47080.00277,2156.41904,850.785011,3269.021394,2368.533253,1759.963939,1447.46785,971.836075,1536.515192,912.30647,499.153023,242499.0721,5.150787124
"20728","City Centre",41752.97122,1854.190184,722.692604,3447.003312,2335.161194,1533.521934,1235.389765,844.765507,1112.209926,515.702788,227.361477,204027.3677,4.8865353
"20729","Leith Walk",33528.14722,2903.790503,1221.785231,5659.243462,3257.074886,2124.461073,1451.514099,787.702356,747.283255,197.212663,53.926992,146483.6815,4.368976325
"20730","Leith",33950.21766,2520.345617,996.81838,4222.132929,2556.714858,1738.906215,1197.707024,660.556815,679.343987,184.280599,44.190995,140731.9887,4.145245552
"20731","Craigentinny Duddingston",34235.14309,2850.527852,978.23362,3155.656304,1936.250253,1525.557326,997.157252,595.09966,817.631751,221.875754,36.008775,142877.3034,4.173410435
"20732","Southside Newington",41470.70355,2914.931362,1044.512196,3834.345317,2305.440779,1719.784638,1307.852447,816.284452,1244.56562,711.683687,383.598635,210800.4111,5.083116346
"20733","Liberton Gilmerton",33347.90696,3798.471028,1093.083351,3433.816453,2222.195208,1836.876619,1177.925903,623.465367,827.832773,241.646106,66.686446,131121.7123,3.931932295
"20734","Portobello Craigmillar",32974.87599,3190.363371,932.7067,2752.605243,1609.52857,1287.145602,846.2295,492.259576,718.084048,224.429201,57.646969,135996.1568,4.124235579