"ref","area","Total households","1 person","2 persons","3 to 4 persons","5 to 6 persons","7+ persons","Overcrowded hh spaces","Under occupied hh spaces"
"20718","Almond",10504,2851,3841,3210,569,33,91,5998
"20719","Pentland Hills",9348,2615,3322,2854,529,28,119,4850
"20720","Drum Brae Gyle",9986,3355,3439,2769,402,21,167,3877
"20721","Forth",15313,5774,4803,4039,635,62,399,3849
"20722","Inverleith",15336,6354,5328,3193,433,28,160,6019
"20723","Corstorphine Murrayfield",10480,3634,3703,2768,360,15,110,4785
"20724","Sighthill Gorgie",19036,8638,6069,3720,554,55,638,2448
"20725","Colinton Fairmilehead",10163,2933,3524,3177,503,26,124,5549
"20726","Fountainbridge Craiglockhart",12093,5288,4217,2304,268,16,297,3174
"20727","Meadows Morningside",14724,5154,4599,4175,763,33,316,5473
"20728","City Centre",11833,5577,3953,1960,329,14,456,2652
"20729","Leith Walk",17661,8556,6026,2737,313,29,609,1950
"20730","Leith",13249,6061,4502,2404,261,21,411,1962
"20731","Craigentinny Duddingston",12991,5383,4510,2723,338,37,286,3556
"20732","Southside Newington",14087,5575,4445,3376,653,38,409,4096
"20733","Liberton Gilmerton",14767,5153,4791,3997,751,75,386,5030
"20734","Portobello Craigmillar",11480,4275,3620,2966,575,44,323,3416