"ref","area","Total households (census)","1 Person: Pensioner","1 Person: Other","1 Adult, plus children","2 Adults, no children","2 Adults, plus children","3+ Adults, no children","3+ Adults, plus children"
"20718","Almond",10504,1418,1433,409,3620,1948,1211,465
"20719","Pentland Hills",9348,1166,1449,399,3113,1586,1136,499
"20720","Drum Brae Gyle",9986,1405,1950,396,3225,1484,1120,406
"20721","Forth",15313,1717,4057,1306,4089,2244,1349,551
"20722","Inverleith",15336,2228,4126,427,5064,1923,1169,399
"20723","Corstorphine Murrayfield",10480,1704,1930,406,3476,1586,1038,340
"20724","Sighthill Gorgie",19036,1798,6840,1211,5350,1776,1588,473
"20725","Colinton Fairmilehead",10163,1474,1459,406,3312,1893,1175,444
"20726","Fountainbridge Craiglockhart",12093,1233,4055,279,4042,1275,985,224
"20727","Meadows Morningside",14724,1621,3533,306,4409,1738,2781,336
"20728","City Centre",11833,964,4613,263,3780,687,1416,110
"20729","Leith Walk",17661,1269,7287,591,5657,1348,1287,222
"20730","Leith",13249,1211,4850,699,4061,1283,890,255
"20731","Craigentinny Duddingston",12991,1912,3471,629,4117,1362,1156,344
"20732","Southside Newington",14087,1882,3693,370,4226,1456,2159,301
"20733","Liberton Gilmerton",14767,1995,3158,1020,4317,2054,1574,649
"20734","Portobello Craigmillar",11480,1392,2883,874,3144,1653,1070,464