"ref","area","Don't manage utilities online (%)","Don't bank online (%)"
"20718","Almond",0.190375643,0.15997224
"20719","Pentland Hills",0.203094626,0.170847633
"20720","Drum Brae Gyle",0.189600801,0.160069417
"20721","Forth",0.200285884,0.170130767
"20722","Inverleith",0.175415164,0.154428852
"20723","Corstorphine Murrayfield",0.175561828,0.158557083
"20724","Sighthill Gorgie",0.178559159,0.148446696
"20725","Colinton Fairmilehead",0.192410495,0.16060604
"20726","Fountainbridge Craiglockhart",0.136608244,0.119159746
"20727","Meadows Morningside",0.141122725,0.123389946
"20728","City Centre",0.128970516,0.104919012
"20729","Leith Walk",0.125996688,0.11332401
"20730","Leith",0.147401459,0.12844459
"20731","Craigentinny Duddingston",0.195931791,0.17116353
"20732","Southside Newington",0.142186809,0.123546284
"20733","Liberton Gilmerton",0.206172183,0.176104536
"20734","Portobello Craigmillar",0.210117949,0.177996124