"ref","area","Total population","Population: male","Population: female","Age: 0-4","Age: 5-11","Age: 12-15","Age: 16-24","Age: 25-44","Age: 45-64","Age: 65-84","Age: 85+","Age: 0-15","Age: 65+"
"20718","Almond",25016,12117,12899,1499,2166,1288,2194,5887,7338,4108,536,4953,4644
"20719","Pentland Hills",23715,11778,11937,1261,1819,1172,3430,5366,6716,3558,393,4252,3951
"20720","Drum Brae Gyle",22221,10694,11527,1273,1485,954,2276,5727,6418,3500,588,3712,4088
"20721","Forth",33211,16035,17176,2601,2659,1481,3769,10638,7866,3660,537,6741,4197
"20722","Inverleith",31112,14873,16239,1572,1845,1245,3016,10029,7976,4520,909,4662,5429
"20723","Corstorphine Murrayfield",22967,10820,12147,1333,1516,974,2061,5998,6366,3889,830,3823,4719
"20724","Sighthill Gorgie",37298,19174,18124,2261,2090,1193,5751,14205,7649,3671,478,5544,4149
"20725","Colinton Fairmilehead",24238,11738,12500,1519,2005,1331,2433,5514,7150,3744,542,4855,4286
"20726","Fountainbridge Craiglockhart",23994,11833,12161,1057,1032,641,4330,8778,5232,2492,432,2730,2924
"20727","Meadows Morningside",34165,16236,17929,1373,1633,1013,8932,10334,6748,3308,824,4019,4132
"20728","City Centre",24150,12346,11804,655,602,375,7070,9116,4319,1753,260,1632,2013
"20729","Leith Walk",31867,15939,15928,1511,1102,588,4504,15805,5679,2258,420,3201,2678
"20730","Leith",24931,12573,12358,1560,1104,633,2780,10922,5224,2342,366,3297,2708
"20731","Craigentinny Duddingston",25746,12413,13333,1330,1451,861,2672,7921,6666,4247,598,3642,4845
"20732","Southside Newington",33223,15845,17378,1281,1543,830,10450,8698,6062,3543,816,3654,4359
"20733","Liberton Gilmerton",33392,15875,17517,2251,2537,1652,3542,8783,9107,4657,863,6440,5520
"20734","Portobello Craigmillar",25380,12075,13305,1826,2050,1169,2658,7012,6820,3359,486,5045,3845