"ref","area","Number of datazones","Drive time accessibility deprived 15%","Public transport deprived 15%","Accessibility deprived 15%","Crime deprived 15%","Education deprived 15%","Employment deprived 15%","Health deprived 15%","Housing deprived 15%","Income deprived 15%","Deprived 15% overall"
"20718","Almond",31,5,2,5,3,0,0,0,0,0,0
"20719","Pentland Hills",26,4,1,2,3,3,2,3,0,3,3
"20720","Drum Brae Gyle",27,0,0,0,1,1,0,0,4,0,0
"20721","Forth",35,0,0,0,14,15,11,12,9,10,11
"20722","Inverleith",36,0,0,0,2,2,0,0,7,1,1
"20723","Corstorphine Murrayfield",27,0,0,0,0,0,0,0,3,0,0
"20724","Sighthill Gorgie",45,0,0,0,10,16,10,9,15,12,12
"20725","Colinton Fairmilehead",31,2,1,0,1,0,1,0,3,2,1
"20726","Fountainbridge Craiglockhart",27,0,0,0,3,1,0,0,13,0,0
"20727","Meadows Morningside",43,0,0,0,1,0,0,0,19,0,0
"20728","City Centre",26,0,0,0,9,1,0,0,15,0,0
"20729","Leith Walk",31,0,0,0,1,1,0,0,27,0,0
"20730","Leith",23,0,0,0,10,6,3,6,14,4,5
"20731","Craigentinny Duddingston",34,0,0,0,4,8,5,3,7,2,4
"20732","Southside Newington",38,0,0,0,3,0,0,0,16,0,0
"20733","Liberton Gilmerton",40,0,0,0,11,13,5,6,14,7,7
"20734","Portobello Craigmillar",29,0,0,0,9,11,9,8,11,9,10