"ref","area","Provide no unpaid care (%)","Provide 1 to 19 hours unpaid care weekly (%)","Provide 20 to 49 hours unpaid care weekly (%)","Provide 50+ hours unpaid care weekly (%)"
"20718","Almond",0.901742217,0.062351959,0.014373088,0.021532736
"20719","Pentland Hills",0.900059629,0.061352823,0.015385186,0.023202362
"20720","Drum Brae Gyle",0.903434028,0.059303555,0.015025087,0.02223733
"20721","Forth",0.912894397,0.047614016,0.016043509,0.023448078
"20722","Inverleith",0.918706065,0.05468589,0.011265911,0.015342134
"20723","Corstorphine Murrayfield",0.909379173,0.059479012,0.012828499,0.018313316
"20724","Sighthill Gorgie",0.924223852,0.03995017,0.014919609,0.020906368
"20725","Colinton Fairmilehead",0.904221007,0.06143742,0.013889261,0.020452311
"20726","Fountainbridge Craiglockhart",0.932876446,0.044470708,0.010263973,0.012388873
"20727","Meadows Morningside",0.933966219,0.046480972,0.008912715,0.010640094
"20728","City Centre",0.941910621,0.040526888,0.008367949,0.009194542
"20729","Leith Walk",0.940573758,0.038808157,0.009760805,0.01085728
"20730","Leith",0.931013097,0.042810047,0.011694261,0.014482596
"20731","Craigentinny Duddingston",0.912531342,0.051664381,0.014663824,0.021140453
"20732","Southside Newington",0.933219461,0.044744542,0.009769046,0.01226695
"20733","Liberton Gilmerton",0.90484113,0.051843511,0.017122945,0.026192414
"20734","Portobello Craigmillar",0.908735042,0.050348851,0.016392464,0.024523643